,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.56,0.12,0.0,0.01,0.01,0.0,0,0.0,0
1,0.52,0.04,0.0,0.51,0.02,0.0,100,4.0,100
2,0.64,0.28,0.0,0.4,-0.2,0.0,200,-16.0,200
3,0.52,0.04,0.0,0.43,-0.14,0.0,300,-30.0,300
4,0.56,0.12,0.0,0.48,-0.04,0.0,400,-36.0,400
5,0.4,-0.2,0.0,0.5,0.0,0.0,500,-34.0,500
6,0.44,-0.12,0.0,0.46,-0.08,0.0,600,-44.0,600
7,0.44,-0.12,0.0,0.49,-0.02,0.0,700,-44.0,700
8,0.36,-0.28,0.0,0.46,-0.08,0.0,800,-52.0,800
9,0.52,0.04,0.0,0.52,0.04,0.0,900,-48.0,900
10,0.32,-0.36,0.0,0.54,0.08,0.0,1000,-40.0,1000
11,0.6,0.2,0.0,0.48,-0.04,0.0,1100,-46.0,1100
12,0.56,0.12,0.0,0.37,-0.26,0.0,1200,-70.0,1200
13,0.32,-0.36,0.0,0.44,-0.12,0.0,1300,-84.0,1300
14,0.44,-0.12,0.0,0.5,0.0,0.0,1400,-84.0,1400
15,0.68,0.36,0.0,0.59,0.18,0.0,1500,-66.0,1500
16,0.64,0.28,0.0,0.52,0.04,0.0,1600,-62.0,1600
17,0.36,-0.28,0.0,0.51,0.02,0.0,1700,-60.0,1700
18,0.48,-0.04,0.0,0.48,-0.04,0.0,1800,-62.0,1800
