,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.44,-0.12,0.0,0.0,-0.01,0.0,0,0.0,0
1,0.48,-0.04,0.0,0.47,-0.06,0.0,100,-8.0,100
2,0.36,-0.28,0.0,0.42,-0.16,0.0,200,-22.0,200
3,0.6,0.2,0.0,0.49,-0.02,0.0,300,-24.0,300
4,0.48,-0.04,0.0,0.55,0.1,0.0,400,-14.0,400
5,0.36,-0.28,0.0,0.48,-0.04,0.0,500,-18.0,500
6,0.56,0.12,0.0,0.45,-0.1,0.0,600,-30.0,600
7,0.52,0.04,0.0,0.44,-0.12,0.0,700,-40.0,700
8,0.36,-0.28,0.0,0.57,0.14,0.0,800,-26.0,800
9,0.48,-0.04,0.0,0.47,-0.06,0.0,900,-34.0,900
10,0.44,-0.12,0.0,0.38,-0.24,0.0,1000,-56.0,1000
11,0.56,0.12,0.0,0.42,-0.16,0.0,1100,-74.0,1100
