,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.6,0.2,0.0,0.0,-0.01,0.0,0,0.0,0
1,0.4,-0.2,0.0,0.53,0.06,0.0,100,4.0,100
2,0.48,-0.04,0.0,0.44,-0.12,0.0,200,-6.0,200
3,0.48,-0.04,0.0,0.57,0.14,0.0,300,8.0,300
4,0.52,0.04,0.0,0.57,0.14,0.0,400,22.0,400
5,0.28,-0.44,0.0,0.46,-0.08,0.0,500,14.0,500
6,0.52,0.04,0.0,0.59,0.18,0.0,600,32.0,600
7,0.52,0.04,0.0,0.5,0.0,0.0,700,30.0,700
8,0.36,-0.28,0.0,0.53,0.06,0.0,800,36.0,800
9,0.6,0.2,0.0,0.48,-0.04,0.0,900,34.0,900
10,0.36,-0.28,0.0,0.49,-0.02,0.0,1000,32.0,1000
11,0.36,-0.28,0.0,0.49,-0.02,0.0,1100,28.0,1100
12,0.52,0.04,0.0,0.5,0.0,0.0,1200,28.0,1200
13,0.64,0.28,0.0,0.49,-0.02,0.0,1300,26.0,1300
14,0.36,-0.28,0.0,0.38,-0.24,0.0,1400,2.0,1400
15,0.64,0.28,0.0,0.51,0.02,0.0,1500,4.0,1500
16,0.28,-0.44,0.0,0.62,0.24,0.0,1600,28.0,1600
17,0.4,-0.2,0.0,0.48,-0.04,0.0,1700,24.0,1700
18,0.44,-0.12,0.0,0.5,0.0,0.0,1800,24.0,1800
19,0.28,-0.44,0.0,0.52,0.04,0.0,1900,30.0,1900
20,0.36,-0.28,0.0,0.48,-0.04,0.0,2000,24.0,2000
21,0.48,-0.04,0.0,0.5,0.0,0.0,2100,26.0,2100
22,0.44,-0.12,0.0,0.46,-0.08,0.0,2200,18.0,2200
23,0.36,-0.28,0.0,0.54,0.08,0.0,2300,24.0,2300
24,0.4,-0.2,0.0,0.46,-0.08,0.0,2400,18.0,2400
25,0.4,-0.2,0.0,0.47,-0.06,0.0,2500,12.0,2500
26,0.28,-0.44,0.0,0.5,0.0,0.0,2600,12.0,2600
27,0.56,0.12,0.0,0.46,-0.08,0.0,2700,4.0,2700
28,0.44,-0.12,0.0,0.44,-0.12,0.0,2800,-10.0,2800
29,0.4,-0.2,0.0,0.44,-0.12,0.0,2900,-22.0,2900
30,0.4,-0.2,0.0,0.46,-0.08,0.0,3000,-30.0,3000
31,0.56,0.12,0.0,0.56,0.12,0.0,3100,-18.0,3100
32,0.44,-0.12,0.0,0.4,-0.2,0.0,3200,-38.0,3200
33,0.4,-0.2,0.0,0.48,-0.04,0.0,3300,-42.0,3300
34,0.56,0.12,0.0,0.53,0.06,0.0,3400,-36.0,3400
35,0.44,-0.12,0.0,0.39,-0.22,0.0,3500,-56.0,3500
36,0.48,-0.04,0.0,0.49,-0.02,0.0,3600,-60.0,3600
37,0.32,-0.36,0.0,0.49,-0.02,0.0,3700,-62.0,3700
38,0.24,-0.52,0.0,0.47,-0.06,0.0,3800,-66.0,3800
39,0.4,-0.2,0.0,0.38,-0.24,0.0,3900,-90.0,3900
40,0.4,-0.2,0.0,0.47,-0.06,0.0,4000,-98.0,4000
41,0.32,-0.36,0.0,0.4,-0.2,0.0,4100,-116.0,4100
42,0.52,0.04,0.0,0.51,0.02,0.0,4200,-114.0,4200
43,0.48,-0.04,0.0,0.46,-0.08,0.0,4300,-122.0,4300
44,0.52,0.04,0.0,0.41,-0.18,0.0,4400,-142.0,4400
45,0.36,-0.28,0.0,0.52,0.04,0.0,4500,-138.0,4500
46,0.28,-0.44,0.0,0.5,0.0,0.0,4600,-138.0,4600
47,0.48,-0.04,0.0,0.41,-0.18,0.0,4700,-154.0,4700
48,0.4,-0.2,0.0,0.6,0.2,0.0,4800,-134.0,4800
49,0.68,0.36,0.0,0.46,-0.08,0.0,4900,-144.0,4900
50,0.48,-0.04,0.0,0.49,-0.02,0.0,5000,-146.0,5000
51,0.64,0.28,0.0,0.44,-0.12,0.0,5100,-156.0,5100
52,0.48,-0.04,0.0,0.4,-0.2,0.0,5200,-176.0,5200
53,0.52,0.04,0.0,0.49,-0.02,0.0,5300,-180.0,5300
54,0.44,-0.12,0.0,0.51,0.02,0.0,5400,-176.0,5400
55,0.56,0.12,0.0,0.53,0.06,0.0,5500,-170.0,5500
