,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
0,0.32,-0.36,0.0,0.01,0.01,0.0,0,0.0,0,-0.5129167581451874,0.050797228471641545
1,0.68,0.36,0.0,0.49,-0.02,0.0,100,-2.0,100,1.380846756755906,0.04936278443720134
2,0.56,0.12,0.0,0.53,0.06,0.0,200,4.0,200,1.1655490426807422,0.04454917580982931
3,0.28,-0.44,0.0,0.41,-0.18,0.0,300,-14.0,300,-0.48528048170942467,0.05022418704853143
4,0.4,-0.2,0.0,0.3,-0.4,0.0,400,-52.0,400,-0.9984568223716799,0.04251942606375342
5,0.2,-0.6,0.0,0.31,-0.38,0.0,500,-90.0,500,-0.7359830725001901,0.03790458903333382
6,0.2,-0.6,0.0,0.4,-0.2,0.0,600,-110.0,600,-0.20615727013296795,0.06824302236476608
7,0.32,-0.36,0.0,0.38,-0.24,0.0,700,-134.0,700,-0.02191895203914493,0.08171030748551965
8,0.08,-0.84,0.0,0.16,-0.68,0.0,800,-204.0,800,-0.438483459044289,0.0367653066105458
9,0.08,-0.84,0.0,0.11,-0.78,0.0,900,-280.0,900,0.07836430199584976,0.0875883164978257
