,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
0,0.76,0.52,0.0,0.01,0.01,0.0,0,0.0,0,0.0665493905544281,0.06949752569198608
1,0.44,-0.12,0.0,0.49,-0.02,0.0,100,-2.0,100,0.025636646203755144,0.17962175653858015
2,0.48,-0.04,0.0,0.49,-0.02,0.0,200,-2.0,200,0.004372877997307878,0.2444701183933581
3,0.52,0.04,0.0,0.46,-0.08,0.0,300,-12.0,300,0.0045528818038348086,0.23270536081258647
4,0.52,0.04,0.0,0.49,-0.02,0.0,400,-14.0,400,0.006339919562966867,0.24761186904809182
5,0.6,0.2,0.0,0.55,0.1,0.0,500,-2.0,500,0.010385847170416273,0.24891436611979564
6,0.44,-0.12,0.0,0.57,0.14,0.0,600,12.0,600,0.01280885286458576,0.24698321574365212
7,0.44,-0.12,0.0,0.51,0.02,0.0,700,14.0,700,0.011989931783880381,0.2604136874672746
8,0.4,-0.2,0.0,0.51,0.02,0.0,800,16.0,800,0.007681792298330896,0.2628117368677716
9,0.52,0.04,0.0,0.47,-0.06,0.0,900,8.0,900,0.002044405271561001,0.2337269615157541
10,0.56,0.12,0.0,0.56,0.12,0.0,1000,22.0,1000,0.011071479296678484,0.22373824734017952
11,0.6,0.2,0.0,0.61,0.22,0.0,1100,44.0,1100,0.01667286461392438,0.2187805119500832
12,0.36,-0.28,0.0,0.46,-0.08,0.0,1200,36.0,1200,0.0061402116918524595,0.23457211922000906
13,0.44,-0.12,0.0,0.46,-0.08,0.0,1300,28.0,1300,0.004396601228717091,0.23911688894886404
14,0.36,-0.28,0.0,0.47,-0.06,0.0,1400,22.0,1400,0.00541732482378482,0.25150770152157004
15,0.6,0.2,0.0,0.52,0.04,0.0,1500,26.0,1500,0.006394770980544592,0.26834147261078334
16,0.48,-0.04,0.0,0.42,-0.16,0.0,1600,10.0,1600,0.006101284724986626,0.2594023835696366
17,0.56,0.12,0.0,0.56,0.12,0.0,1700,20.0,1700,0.010109820000672431,0.26274257157411146
18,0.56,0.12,0.0,0.59,0.18,0.0,1800,38.0,1800,0.010243837831964843,0.25385145400154213
19,0.48,-0.04,0.0,0.41,-0.18,0.0,1900,20.0,1900,0.005557457707070226,0.23437108251704797
20,0.36,-0.28,0.0,0.46,-0.08,0.0,2000,12.0,2000,0.006622270871011056,0.3194218663703161
21,0.4,-0.2,0.0,0.53,0.06,0.0,2100,18.0,2100,0.0056702031091845125,0.28354304409830977
22,0.48,-0.04,0.0,0.55,0.1,0.0,2200,30.0,2200,0.010219308744942791,0.287909683226916
23,0.64,0.28,0.0,0.48,-0.04,0.0,2300,24.0,2300,0.007367050582416316,0.2444886470247421
24,0.32,-0.36,0.0,0.5,0.0,0.0,2400,24.0,2400,0.005319067506560152,0.24236505855168544
25,0.4,-0.2,0.0,0.44,-0.12,0.0,2500,14.0,2500,0.002459712859078501,0.23686681008635305
26,0.32,-0.36,0.0,0.49,-0.02,0.0,2600,12.0,2600,0.0061348680011386976,0.22204566825479546
27,0.44,-0.12,0.0,0.44,-0.12,0.0,2700,-2.0,2700,0.002470463116893728,0.22588525297700382
28,0.52,0.04,0.0,0.42,-0.16,0.0,2800,-18.0,2800,0.0025747036438443305,0.3108345744235546
29,0.56,0.12,0.0,0.45,-0.1,0.0,2900,-26.0,2900,0.006941410631005411,0.2493148563938647
30,0.44,-0.12,0.0,0.44,-0.12,0.0,3000,-38.0,3000,0.0027602630419971386,0.2732532648158364
31,0.4,-0.2,0.0,0.5,0.0,0.0,3100,-40.0,3100,0.005395115893790875,0.24238880005927907
32,0.64,0.28,0.0,0.56,0.12,0.0,3200,-28.0,3200,0.00994822925929834,0.2156002353065915
33,0.44,-0.12,0.0,0.5,0.0,0.0,3300,-26.0,3300,0.009581690782829187,0.20991703603714404
34,0.4,-0.2,0.0,0.54,0.08,0.0,3400,-18.0,3400,0.010681668030066684,0.25057709785027726
35,0.52,0.04,0.0,0.47,-0.06,0.0,3500,-24.0,3500,0.01021876072670441,0.2834710274154206
36,0.44,-0.12,0.0,0.48,-0.04,0.0,3600,-28.0,3600,-0.0016811347242746111,0.29921712117227955
37,0.6,0.2,0.0,0.46,-0.08,0.0,3700,-38.0,3700,0.013109611249556187,0.2494434470815736
38,0.64,0.28,0.0,0.5,0.0,0.0,3800,-36.0,3800,0.0021726932145603637,0.22343816549590464
39,0.6,0.2,0.0,0.41,-0.18,0.0,3900,-56.0,3900,0.007161500893931789,0.27840102029721264
40,0.36,-0.28,0.0,0.42,-0.16,0.0,4000,-70.0,4000,0.0012210104745614427,0.2728297344134271
41,0.48,-0.04,0.0,0.5,0.0,0.0,4100,-72.0,4100,0.004256444733809089,0.2566725356995473
42,0.44,-0.12,0.0,0.47,-0.06,0.0,4200,-76.0,4200,0.00792471656536637,0.25725668234537685
