,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.48,-0.04,0.0,0.01,0.01,0.0,0,0.0,0
1,0.64,0.28,0.0,0.51,0.02,0.0,100,2.0,100
2,0.44,-0.12,0.0,0.56,0.12,0.0,200,14.0,200
3,0.4,-0.2,0.0,0.51,0.02,0.0,300,16.0,300
4,0.48,-0.04,0.0,0.46,-0.08,0.0,400,8.0,400
5,0.56,0.12,0.0,0.52,0.04,0.0,500,14.0,500
6,0.48,-0.04,0.0,0.5,0.0,0.0,600,14.0,600
7,0.72,0.44,0.0,0.51,0.02,0.0,700,14.0,700
8,0.48,-0.04,0.0,0.44,-0.12,0.0,800,2.0,800
9,0.6,0.2,0.0,0.5,0.0,0.0,900,4.0,900
10,0.52,0.04,0.0,0.48,-0.04,0.0,1000,-2.0,1000
11,0.44,-0.12,0.0,0.55,0.1,0.0,1100,8.0,1100
12,0.52,0.04,0.0,0.55,0.1,0.0,1200,20.0,1200
13,0.48,-0.04,0.0,0.52,0.04,0.0,1300,22.0,1300
14,0.48,-0.04,0.0,0.49,-0.02,0.0,1400,20.0,1400
15,0.6,0.2,0.0,0.48,-0.04,0.0,1500,16.0,1500
16,0.56,0.12,0.0,0.54,0.08,0.0,1600,24.0,1600
17,0.4,-0.2,0.0,0.55,0.1,0.0,1700,34.0,1700
18,0.56,0.12,0.0,0.52,0.04,0.0,1800,40.0,1800
19,0.48,-0.04,0.0,0.52,0.04,0.0,1900,42.0,1900
20,0.32,-0.36,0.0,0.54,0.08,0.0,2000,50.0,2000
21,0.36,-0.28,0.0,0.51,0.02,0.0,2100,52.0,2100
22,0.4,-0.2,0.0,0.57,0.14,0.0,2200,66.0,2200
23,0.44,-0.12,0.0,0.49,-0.02,0.0,2300,66.0,2300
24,0.6,0.2,0.0,0.54,0.08,0.0,2400,74.0,2400
25,0.4,-0.2,0.0,0.52,0.04,0.0,2500,78.0,2500
26,0.44,-0.12,0.0,0.53,0.06,0.0,2600,84.0,2600
27,0.36,-0.28,0.0,0.47,-0.06,0.0,2700,78.0,2700
28,0.6,0.2,0.0,0.5,0.0,0.0,2800,78.0,2800
29,0.68,0.36,0.0,0.55,0.1,0.0,2900,88.0,2900
30,0.48,-0.04,0.0,0.46,-0.08,0.0,3000,78.0,3000
31,0.48,-0.04,0.0,0.56,0.12,0.0,3100,92.0,3100
32,0.72,0.44,0.0,0.61,0.22,0.0,3200,112.0,3200
33,0.48,-0.04,0.0,0.58,0.16,0.0,3300,130.0,3300
34,0.28,-0.44,0.0,0.54,0.08,0.0,3400,136.0,3400
35,0.52,0.04,0.0,0.54,0.08,0.0,3500,144.0,3500
36,0.36,-0.28,0.0,0.51,0.02,0.0,3600,148.0,3600
37,0.64,0.28,0.0,0.56,0.12,0.0,3700,160.0,3700
38,0.36,-0.28,0.0,0.53,0.06,0.0,3800,164.0,3800
39,0.48,-0.04,0.0,0.56,0.12,0.0,3900,178.0,3900
40,0.36,-0.28,0.0,0.36,-0.28,0.0,4000,150.0,4000
41,0.52,0.04,0.0,0.55,0.1,0.0,4100,158.0,4100
42,0.64,0.28,0.0,0.55,0.1,0.0,4200,170.0,4200
43,0.44,-0.12,0.0,0.55,0.1,0.0,4300,180.0,4300
44,0.48,-0.04,0.0,0.55,0.1,0.0,4400,190.0,4400
45,0.44,-0.12,0.0,0.47,-0.06,0.0,4500,184.0,4500
