,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.6,0.2,0.0,0.01,0.01,0.0,0,0.0,0
1,0.56,0.12,0.0,0.48,-0.04,0.0,100,-4.0,100
2,0.68,0.36,0.0,0.5,0.0,0.0,200,-2.0,200
3,0.52,0.04,0.0,0.52,0.04,0.0,300,2.0,300
4,0.44,-0.12,0.0,0.51,0.02,0.0,400,2.0,400
5,0.36,-0.28,0.0,0.55,0.1,0.0,500,14.0,500
6,0.56,0.12,0.0,0.51,0.02,0.0,600,14.0,600
7,0.36,-0.28,0.0,0.5,0.0,0.0,700,14.0,700
8,0.48,-0.04,0.0,0.49,-0.02,0.0,800,12.0,800
9,0.56,0.12,0.0,0.44,-0.12,0.0,900,2.0,900
10,0.48,-0.04,0.0,0.54,0.08,0.0,1000,10.0,1000
11,0.4,-0.2,0.0,0.44,-0.12,0.0,1100,-4.0,1100
12,0.52,0.04,0.0,0.54,0.08,0.0,1200,6.0,1200
13,0.52,0.04,0.0,0.53,0.06,0.0,1300,10.0,1300
14,0.36,-0.28,0.0,0.51,0.02,0.0,1400,14.0,1400
15,0.48,-0.04,0.0,0.47,-0.06,0.0,1500,8.0,1500
16,0.48,-0.04,0.0,0.55,0.1,0.0,1600,16.0,1600
17,0.56,0.12,0.0,0.52,0.04,0.0,1700,22.0,1700
18,0.4,-0.2,0.0,0.51,0.02,0.0,1800,22.0,1800
19,0.56,0.12,0.0,0.51,0.02,0.0,1900,24.0,1900
20,0.44,-0.12,0.0,0.39,-0.22,0.0,2000,2.0,2000
21,0.52,0.04,0.0,0.47,-0.06,0.0,2100,-4.0,2100
22,0.68,0.36,0.0,0.59,0.18,0.0,2200,14.0,2200
23,0.36,-0.28,0.0,0.44,-0.12,0.0,2300,4.0,2300
24,0.64,0.28,0.0,0.39,-0.22,0.0,2400,-18.0,2400
25,0.52,0.04,0.0,0.42,-0.16,0.0,2500,-34.0,2500
26,0.44,-0.12,0.0,0.51,0.02,0.0,2600,-34.0,2600
27,0.44,-0.12,0.0,0.53,0.06,0.0,2700,-26.0,2700
28,0.6,0.2,0.0,0.44,-0.12,0.0,2800,-40.0,2800
29,0.32,-0.36,0.0,0.39,-0.22,0.0,2900,-62.0,2900
