,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.48,-0.04,0.0,0.01,0.01,0.0,0,0.0,0
1,0.36,-0.28,0.0,0.49,-0.02,0.0,100,0.0,100
2,0.64,0.28,0.0,0.44,-0.12,0.0,200,-14.0,200
3,0.28,-0.44,0.0,0.5,0.0,0.0,300,-14.0,300
4,0.64,0.28,0.0,0.45,-0.1,0.0,400,-22.0,400
5,0.52,0.04,0.0,0.5,0.0,0.0,500,-22.0,500
6,0.64,0.28,0.0,0.4,-0.2,0.0,600,-44.0,600
7,0.56,0.12,0.0,0.56,0.12,0.0,700,-32.0,700
8,0.68,0.36,0.0,0.6,0.2,0.0,800,-12.0,800
9,0.72,0.44,0.0,0.54,0.08,0.0,900,-2.0,900
10,0.52,0.04,0.0,0.61,0.22,0.0,1000,18.0,1000
11,0.52,0.04,0.0,0.55,0.1,0.0,1100,28.0,1100
12,0.68,0.36,0.0,0.56,0.12,0.0,1200,40.0,1200
13,0.52,0.04,0.0,0.57,0.14,0.0,1300,54.0,1300
14,0.6,0.2,0.0,0.51,0.02,0.0,1400,58.0,1400
15,0.52,0.04,0.0,0.47,-0.06,0.0,1500,52.0,1500
