,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
0,0.2,-0.6,0.0,0.0,-0.01,0.0,0,-93.0,443,0.0,0.0
1,0.32,-0.36,0.0,0.46,-0.08,0.0,100,-103.0,543,0.18034173548221588,0.0005463637644425035
2,0.32,-0.36,0.0,0.42,-0.16,0.0,200,-119.0,643,0.15809468924999237,0.0032294089905917645
3,0.4,-0.2,0.0,0.41,-0.18,0.0,300,-137.0,743,0.020059771835803986,0.0055648344568908215
4,0.48,-0.04,0.0,0.44,-0.12,0.0,400,-149.0,843,-0.34569892287254333,0.00854163896292448
5,0.4,-0.2,0.0,0.35,-0.3,0.0,500,-181.0,943,0.07784517109394073,0.00042959637357853353
6,0.44,-0.12,0.0,0.37,-0.26,0.0,600,-207.0,1043,0.01262236200273037,0.004110055044293404
7,0.36,-0.28,0.0,0.41,-0.18,0.0,700,-223.0,1143,-0.36765456199645996,0.0024575130082666874
8,0.28,-0.44,0.0,0.32,-0.36,0.0,800,-259.0,1243,-1.3618704080581665,0.008559513837099075
9,0.24,-0.52,0.0,0.27,-0.46,0.0,900,-305.0,1343,0.0911024659872055,0.0036911931820213795
10,0.52,0.04,0.0,0.37,-0.26,0.0,1000,-333.0,1443,-0.10119971632957458,0.0037734501529484987
11,0.44,-0.12,0.0,0.45,-0.1,0.0,1100,-343.0,1543,-0.35581982135772705,0.0021958393044769764
12,0.48,-0.04,0.0,0.43,-0.14,0.0,1200,-357.0,1643,-0.2029823213815689,0.0020795846357941628
13,0.44,-0.12,0.0,0.39,-0.22,0.0,1300,-377.0,1743,-0.13115429878234863,0.007871805690228939
14,0.56,0.12,0.0,0.38,-0.24,0.0,1400,-399.0,1843,-0.3960226774215698,0.0009041528101079166
